,name_x,searched_longitude,searched_latitude,number of bikes,name_y,location,rating,distance,review_count,price
185,JAMES STREET EAST,-6.248109,53.336597,30,Pearl Brasserie,20 Upper Merrion Street,4.5,391.8565489565855,74,€€€
186,JAMES STREET EAST,-6.248109,53.336597,30,The Old Mill Restaurant,14 Temple Bar Square,4.5,1420.2223928008357,229,€€
187,JAMES STREET EAST,-6.248109,53.336597,30,The Bank on College Green,20-22 College Green,4.4,1233.5553622040952,441,€€€
188,JAMES STREET EAST,-6.248109,53.336597,30,IL Vicoletto,5 Crow Street,4.5,1361.8585501424734,131,€€€
189,JAMES STREET EAST,-6.248109,53.336597,30,Searsons of Baggot Street,42-44 Upper Baggot Street,4.4,498.95118319559856,99,€€
190,JOHN STREET WEST,-6.277167,53.343105,31,The Brazen Head,20 Bridge Street Lower,4.2,214.73065157907124,906,€€€
191,JOHN STREET WEST,-6.277167,53.343105,31,The Boxty House,20-21 Temple Bar,4.3,1034.2203044013088,1231,€€€
192,JOHN STREET WEST,-6.277167,53.343105,31,Darkey Kellys,Hotel Harding,4.6,478.4210445104313,263,€€
193,JOHN STREET WEST,-6.277167,53.343105,31,The Old Mill Restaurant,14 Temple Bar Square,4.5,994.8893748977292,229,€€
194,JOHN STREET WEST,-6.277167,53.343105,31,IL Vicoletto,5 Crow Street,4.5,902.1269651367966,131,€€€
195,JOHN STREET WEST,-6.277167,53.343105,31,The Pig's Ear,4 Nassau Street,4.3,1490.209620767058,238,€€€
196,JOHN STREET WEST,-6.277167,53.343105,31,The Bank on College Green,20-22 College Green,4.4,1049.8214332614568,441,€€€
197,JOHN STREET WEST,-6.277167,53.343105,31,O'Sheas Merchant,12 Bridge Street Lower,4.3,233.1377284762478,69,€€
198,JOHN STREET WEST,-6.277167,53.343105,31,L Mulligan Grocer,18 Stoneybatter,4.3,994.0274557511876,215,€€
199,JOHN STREET WEST,-6.277167,53.343105,31,Bull & Castle,5-7 Lord Edward Street,4.1,460.09434492830366,294,€€€
200,EXCISE WALK,-6.244239,53.347777,40,J2 Grill & Sushi,"Unit A, The Campshires",4.0,8.647837569993312,127,€€
201,EXCISE WALK,-6.244239,53.347777,40,The Boxty House,20-21 Temple Bar,4.3,1215.0300116779504,1231,€€€
202,EXCISE WALK,-6.244239,53.347777,40,Musashi IFSC,"Unit 2 , Burton Hall",4.2,188.84952410953895,53,€€
203,EXCISE WALK,-6.244239,53.347777,40,The Pig's Ear,4 Nassau Street,4.3,926.6487864668188,238,€€€
204,EXCISE WALK,-6.244239,53.347777,40,The Old Mill Restaurant,14 Temple Bar Square,4.5,1256.96086419839,229,€€
205,EXCISE WALK,-6.244239,53.347777,40,The Bank on College Green,20-22 College Green,4.4,1208.0177969801457,441,€€€
206,EXCISE WALK,-6.244239,53.347777,40,IL Vicoletto,5 Crow Street,4.5,1347.359474112021,131,€€€
207,EXCISE WALK,-6.244239,53.347777,40,Ely Bar & Brasserie,Georges Dock,3.9,315.4616153571717,56,€€€
208,EXCISE WALK,-6.244239,53.347777,40,Pichet,14-15 Trinity Street,4.3,1276.6302483025938,116,€€€
209,EXCISE WALK,-6.244239,53.347777,40,Featherblade,51B Dawson Street,4.4,1159.8063963798854,122,€€
210,MOUNTJOY SQUARE EAST,-6.256359,53.356717,40,The Boxty House,20-21 Temple Bar,4.3,1283.1736114452694,1231,€€€
