,name,location,rating,distance,review_count,price,searched_latitude,searched_longitude
206,IL Vicoletto,5 Crow Street,4.5,1347.359474112021,131,€€€,53.347777,-6.244239
207,Ely Bar & Brasserie,Georges Dock,3.9,315.4616153571717,56,€€€,53.347777,-6.244239
208,Pichet,14-15 Trinity Street,4.3,1276.6302483025938,116,€€€,53.347777,-6.244239
209,Featherblade,51B Dawson Street,4.4,1159.8063963798854,122,€€,53.347777,-6.244239
210,The Boxty House,20-21 Temple Bar,4.3,1283.1736114452694,1231,€€€,53.356717,-6.256359
211,The Old Mill Restaurant,14 Temple Bar Square,4.5,1285.9546711714129,229,€€,53.356717,-6.256359
212,IL Vicoletto,5 Crow Street,4.5,1445.0084434964601,131,€€€,53.356717,-6.256359
213,The Bank on College Green,20-22 College Green,4.4,1421.9290550502697,441,€€€,53.356717,-6.256359
214,Bleecker Street Cafe Bar,68 Dorset Street,4.6,515.8425572600726,58,€€,53.356717,-6.256359
215,Darkey Kellys,Hotel Harding,4.6,1690.748292946493,263,€€,53.356717,-6.256359
216,F.X.Buckley,2 Crow Street,4.6,1434.9468904686262,120,€€€,53.356717,-6.256359
217,Pichet,14-15 Trinity Street,4.3,1456.6490460536988,116,€€€,53.356717,-6.256359
218,Bunsen,22 Essex Street E,4.5,1350.3313283494995,215,€€,53.356717,-6.256359
219,Kimchi Hophouse,160-161 Parnell Street,4.0,505.48325060189126,154,€€,53.356717,-6.256359
220,Union8,740 S Circular Road,4.1,186.1309798521597,55,€€,53.341805,-6.305085
221,La Dolce Vita,760 S Circular Road,3.9,163.22752504346764,44,€€,53.341805,-6.305085
222,L Mulligan Grocer,18 Stoneybatter,4.3,1826.5866118592637,215,€€,53.341805,-6.305085
223,The Patriot Inn,760 South Circular Road,3.6,175.32111345716385,43,€€,53.341805,-6.305085
224,Ryans Of Parkgate Street,28 Parkgate Street,4.4,1027.6867671034006,66,€€,53.341805,-6.305085
225,Kilmainham Gaol,Inchicore Rd,4.7,322.7758319383295,269,,53.341805,-6.305085
226,LimeTree Cafe,Kilmainham Square,4.3,337.87839088176975,44,€€,53.341805,-6.305085
